Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBgn0035020	885	230	252	474	155	175	507	404	405	277	245	243	346.88	439	255	0.581	-0.784	2.09129635070158e-05	0.000628308156353639	0.0207	0.0248
FBgn0267336	3505	1170	909	2150	710	804	2008	2055	1461	1257	1124	1116	1503.36	1841	1166	0.633	-0.659	2.32493546019015e-05	0.000695953308192688	0.0165	0.0174
FBgn0005636	906	432	361	565	240	270	519	759	580	330	380	375	490.47	619	362	0.585	-0.773	2.52605855395147e-05	0.000750678705054707	0.0214	0.0205
FBgn0050069	9629	2281	1729	4513	1158	1149	5515	4005	2780	2639	1833	1595	3061.09	4100	2022	0.493	-1.019	2.80333721584953e-05	0.000827085318143806	0.0414	0.0222
FBgn0033446	257	77	64	101	37	44	147	135	103	59	59	61	94	128	60	0.46	-1.12	2.97759128646209e-05	0.000869117570518222	0.0376	0.0532
FBgn0263257	280	76	83	125	47	39	160	133	133	73	74	54	104.81	142	67	0.471	-1.085	3.08886030906986e-05	0.000898398306914575	0.0362	0.0509
FBgn0027091	2455	905	980	1573	676	745	1406	1589	1575	920	1070	1034	1265.75	1523	1008	0.661	-0.597	4.01554645082852e-05	0.0011357073099895	0.0141	0.0168
FBgn0267824	2685	910	928	1778	682	733	1538	1598	1492	1040	1079	1017	1294.02	1543	1045	0.678	-0.561	4.07738036814481e-05	0.00114923277592865	0.0124	0.0169
FBgn0038877	2729	710	866	1752	477	628	1563	1247	1392	1024	755	872	1142.17	1401	884	0.632	-0.663	4.26608149871683e-05	0.00119421161953841	0.0177	0.0166
FBgn0262103	3463	1311	1157	2264	886	1020	1984	2302	1860	1324	1402	1416	1714.57	2049	1381	0.674	-0.569	4.29612641716952e-05	0.00119853159434096	0.0131	0.018
FBgn0033188	2847	1122	1141	2049	778	909	1631	1970	1834	1198	1231	1262	1521.05	1812	1230	0.68	-0.557	4.37804573784369e-05	0.00121313280884439	0.0125	0.0174
FBgn0034694	955	300	387	631	212	255	547	527	622	369	336	354	459.06	565	353	0.626	-0.676	4.36544172774017e-05	0.00121313280884439	0.0168	0.0212
FBgn0030349	3923	1462	1486	2681	1090	1188	2247	2567	2389	1568	1725	1649	2024.14	2401	1647	0.686	-0.543	4.53342759096281e-05	0.00125195869027195	0.0121	0.019
FBgn0035232	4109	1384	1486	2679	1051	1249	2354	2430	2389	1566	1663	1734	2022.69	2391	1654	0.692	-0.532	4.55499309268836e-05	0.00125369306530973	0.0116	0.019
FBgn0028542	2064	932	1297	1071	611	743	1182	1637	2085	626	967	1031	1254.73	1635	875	0.535	-0.903	4.59522925341868e-05	0.0012605374694495	0.0337	0.0168
FBgn0039209	4689	1424	1223	2981	869	1053	2686	2501	1966	1743	1375	1462	1955.38	2384	1527	0.641	-0.642	4.61280911003451e-05	0.00126114201068343	0.0171	0.0188
FBgn0015522	359	136	113	218	60	66	206	239	182	127	95	92	156.69	209	105	0.51	-0.971	4.63273915869101e-05	0.00126238294284331	0.0325	0.0416
FBgn0031313	2824	1250	1408	1906	865	986	1618	2195	2264	1114	1369	1369	1654.68	2026	1284	0.634	-0.657	4.7522584176184e-05	0.00128640341720482	0.0179	0.0178
FBgn0020376	85	34	43	40	9	20	49	60	69	23	14	28	40.48	59	22	0.382	-1.387	5.02106462418477e-05	0.00135025482123159	0.0502	0.0623
FBgn0085334	205	33	58	72	20	20	117	58	93	42	32	28	61.69	89	34	0.38	-1.394	5.59374097421616e-05	0.00148960595683509	0.0639	0.0591
FBgn0264090	80	26	24	28	13	9	46	46	39	16	21	12	29.92	44	16	0.377	-1.408	6.33032479329236e-05	0.00165669573850511	0.0453	0.0626
