Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0330170	17	9	10	42	48	56	10	15	16	25	74	78	36.29	14	59	4.345	2.119	0.000317135119566583	0.0157739484748867	0.1852	0.1741
FBtr0083467	175	65	67	563	154	205	103	110	106	331	239	284	195.34	106	285	2.691	1.428	0.00032741504907394	0.0161637340528667	0.1026	0.1448
FBtr0100507	18	8	8	33	61	45	11	14	13	19	95	62	35.51	13	59	4.761	2.251	0.000332564730186913	0.0163596265349639	0.2126	0.1736
FBtr0085217	4	3	6	44	12	15	2	5	9	26	19	21	13.69	5	22	4.394	2.135	0.000339453458829867	0.0165833151765708	0.1289	0.151
FBtr0299564	168	72	72	441	194	235	98	122	114	259	301	326	203.25	111	295	2.66	1.411	0.000341604076238249	0.0166216374704404	0.1008	0.1431
FBtr0301838	2821	773	908	4828	2028	2379	1653	1305	1433	2838	3144	3299	2278.73	1464	3094	2.113	1.079	0.000343276982869485	0.0166577714234715	0.0634	0.085
FBtr0308644	23	10	18	105	60	40	13	17	28	62	93	55	44.83	19	70	3.641	1.864	0.000359671495934153	0.0173613893774289	0.1506	0.1771
FBtr0071246	149	35	38	544	103	130	87	59	60	320	160	180	144.35	69	220	3.179	1.669	0.000363548245780406	0.0174991798089891	0.1408	0.1571
FBtr0073321	20	7	8	42	49	35	12	12	13	25	76	49	30.89	12	50	4.034	2.012	0.000401322575196864	0.0192141230788103	0.1674	0.171
FBtr0088266	534	102	101	1309	322	353	313	172	159	769	499	490	400.45	215	586	2.714	1.44	0.000407331701404377	0.0194498171875914	0.1119	0.113
FBtr0305679	536	170	220	1168	487	521	314	287	347	687	755	723	518.74	316	722	2.281	1.19	0.000410954557101885	0.0195706178177297	0.077	0.1035
FBtr0079531	23	4	15	50	43	73	13	7	24	29	67	101	40.2	15	66	4.431	2.148	0.000413581813100736	0.0196434905713044	0.2062	0.1758
FBtr0110876	130	22	18	471	91	86	76	37	28	277	141	119	113.16	47	179	3.722	1.896	0.000421231228302758	0.0198488588789189	0.1839	0.1655
FBtr0347201	611	306	276	1857	573	687	358	516	436	1092	888	953	707.14	437	978	2.244	1.166	0.000420573111611504	0.0198488588789189	0.0748	0.0948
