Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0086126	1256	393	518	1312	559	616	736	663	817	771	867	854	784.83	739	831	1.122	0.165	0.401207972736308	0.785397393660909	0.0264	0.033
FBtr0086127	7375	1606	2150	7979	2199	2023	4321	2711	3393	4690	3410	2806	3555.04	3475	3635	1.04	0.057	0.74690601436734	0.944365138628837	0.0221	0.0252
FBtr0086129	142	405	65	519	211	213	83	684	103	305	327	295	299.5	290	309	1.293	0.37	0.518522919176259	0.858182030757935	0.2075	0.054
FBtr0086130	63	35	44	61	16	45	37	59	69	36	25	62	48.08	55	41	0.774	-0.369	0.374976304986818	0.767160122717566	0.1001	0.0977
FBtr0086131	735	169	195	731	185	351	431	285	308	430	287	487	371.16	341	401	1.189	0.25	0.360542544180771	0.758680109937667	0.0503	0.0478
FBtr0086133	44	11	11	20	17	15	26	19	17	12	26	21	20.1	21	20	0.861	-0.216	0.62774973970461	0.90321308470476	0.0839	0.0772
FBtr0086134	1226	512	538	1323	703	706	718	864	849	778	1090	979	879.73	810	949	1.163	0.218	0.245400600392612	0.656528186258795	0.0241	0.0314
FBtr0086135	52	6	16	42	13	3	30	10	25	25	20	4	19.14	22	16	0.731	-0.451	0.366590934247304	0.762404958727042	0.1138	0.0778
FBtr0086136	1	0	0	2	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0086137	2	1	0	6	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0086139	3	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0086141	2282	659	849	2335	904	1075	1337	1112	1340	1373	1402	1491	1342.38	1263	1422	1.125	0.17	0.348749234722184	0.749309472008229	0.0228	0.0272
