Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBgn0000286	1208	392	349	744	291	343	692	688	561	435	461	476	552.16	647	457	0.701	-0.512	2.90667503065216e-06	3.6509262789294e-05	0.0064	0.0057
FBgn0030114	2058	888	907	1556	674	858	1179	1559	1458	910	1067	1191	1227.27	1399	1056	0.757	-0.401	2.96304356861489e-06	3.71603720944638e-05	0.0043	0.0049
FBgn0032005	8800	3019	3285	6417	2427	3115	5040	5301	5281	3752	3841	4324	4589.93	5207	3972	0.762	-0.392	2.99366530446855e-06	3.74299433342242e-05	0.0048	0.0057
FBgn0036801	84	34	32	38	15	19	48	60	51	22	24	26	38.6	53	24	0.459	-1.125	3.0450667230636e-06	3.8014668588383e-05	0.0113	0.0219
FBgn0040391	54	19	22	16	8	11	31	33	35	9	13	15	22.82	33	12	0.358	-1.481	3.07224561543583e-06	3.82956816683962e-05	0.018	0.0251
FBgn0260960	8163	2177	2210	6257	1816	2025	4676	3823	3553	3658	2874	2811	3565.75	4017	3114	0.775	-0.368	3.13538067526086e-06	3.89052833562626e-05	0.0041	0.0053
FBgn0284226	2534	842	702	1937	537	643	1451	1479	1129	1133	850	892	1155.58	1353	958	0.707	-0.499	3.14376266348803e-06	3.89503646011009e-05	0.0071	0.0049
FBgn0051005	764	218	234	501	178	197	438	383	376	293	282	273	340.78	399	283	0.704	-0.506	3.18009379693447e-06	3.93410698679586e-05	0.005	0.007
FBgn0037917	1613	447	567	1149	373	482	924	785	912	672	590	669	758.58	874	644	0.737	-0.441	3.23624657190301e-06	3.99754433475128e-05	0.0048	0.0052
FBgn0031952	1003	344	329	737	241	298	574	604	529	431	381	414	488.91	569	409	0.722	-0.47	3.51639478164138e-06	4.317585329195e-05	0.0049	0.006
