Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0073487	3493	233	368	318	158	155	1808	349	518	162	217	192	541.12	892	190	0.213	-2.23	-3.665	0.000247443845267615	0.00836444793190955	0.3648	0.0971	0.2634	0.2634	TRUE	1.9932
FBtr0303383	279	141	73	99	53	43	144	211	103	51	73	53	105.85	153	59	0.383	-1.383	-3.659	0.000253533130437979	0.0085556615262987	0.0725	0.1317	0.0906	0.0906	TRUE	0.168
FBtr0340289	270	77	91	113	56	51	140	115	128	58	77	63	96.85	128	66	0.508	-0.977	-3.658	0.000254081989212848	0.0085575175354587	0	0.1357	0.0394	0.0394	TRUE	0.162
FBtr0083600	342	123	146	176	81	91	177	184	206	90	111	113	146.81	189	105	0.55	-0.862	-3.657	0.00025512846165021	0.00856564572008981	0	0.1197	0.0322	0.0322	TRUE	0.1919
FBtr0074255	837	235	186	344	78	137	433	352	262	176	107	170	249.99	349	151	0.433	-1.207	-3.654	0.00025865510006359	0.00866932983687711	0.0601	0.1069	0.0737	0.0737	TRUE	0.1388
FBtr0332057	38016	10248	9446	16396	5242	3104	19674	15351	13306	8373	7198	3851	11292	16110	6474	0.402	-1.315	-3.648	0.000264316386329934	0.00881426060653362	0.0859	0.0891	0.0936	0.0936	TRUE	0.9179
FBtr0344403	309	80	97	147	54	56	160	120	137	75	74	69	105.85	139	73	0.522	-0.938	-3.646	0.000266063393655973	0.00884449595579159	0	0.1317	0.0369	0.0369	TRUE	0.206
FBtr0308642	37	15	10	5	1	4	19	22	14	3	1	5	10.77	18	3	0.157	-2.672	-3.646	0.00026666196179069	0.00884771861478337	0	0.5122	0.1971	0.1971	TRUE	0.2483
FBtr0079466	1995	712	947	1335	513	586	1032	1067	1334	682	704	727	924.35	1144	704	0.616	-0.699	-3.645	0.000267461347734833	0.00885937713811778	0.0092	0.0936	0.0253	0.0253	TRUE	0.2484
FBtr0290320	191	29	63	33	22	20	99	43	89	17	30	25	50.48	77	24	0.302	-1.728	-3.641	0.000271414784663398	0.00896031279919649	0.1115	0.179	0.1336	0.1336	TRUE	0.842
FBtr0302568	193	73	50	80	28	37	100	109	70	41	38	46	67.48	93	42	0.446	-1.165	-3.639	0.000273611909199241	0.00901779250735831	0.0139	0.1562	0.0559	0.0559	TRUE	0.3781
FBtr0086799	359	136	113	218	60	66	186	204	159	111	82	82	137.38	183	92	0.508	-0.977	-3.637	0.000276056003599158	0.00906462596401412	0.0164	0.1219	0.0435	0.0435	TRUE	0.4011
FBtr0300612	1690	449	442	877	275	269	875	673	623	448	378	334	554.83	724	387	0.534	-0.904	-3.635	0.000278076996885726	0.00908921093126484	0.0251	0.0969	0.0425	0.0425	TRUE	0.4097
FBtr0073296	341	129	127	213	57	85	176	193	179	109	78	105	140.18	183	97	0.539	-0.893	-3.632	0.000280845673079797	0.00914946159003788	0.0042	0.1212	0.0354	0.0354	TRUE	0.2481
FBtr0088521	304	101	159	147	26	67	157	151	224	75	36	83	121.08	177	65	0.367	-1.445	-3.625	0.000288982171588438	0.00933761837117869	0.0912	0.1263	0.1034	0.1034	TRUE	1.1486
FBtr0089925	2698	743	796	1473	471	634	1396	1113	1121	752	647	787	969.33	1210	729	0.602	-0.733	-3.608	0.000308292802363648	0.00989689962133303	0.0122	0.0934	0.0286	0.0286	TRUE	0.2226
FBtr0333912	222	77	68	93	43	48	115	115	96	47	59	60	82.02	109	55	0.502	-0.995	-3.605	0.000311653348936039	0.0099885656000165	0	0.1443	0.0408	0.0408	TRUE	0.1855
FBtr0332529	1972	1114	1162	725	433	616	1021	1669	1637	370	595	764	1009.18	1442	576	0.399	-1.324	-3.591	0.000329639555127413	0.0104969761717304	0.0978	0.0932	0.0967	0.0967	TRUE	0.8445
FBtr0070848	2540	976	1178	1885	554	752	1314	1462	1659	963	761	933	1182.01	1478	886	0.6	-0.737	-3.59	0.00033113958096542	0.0105277897324617	0.0131	0.0925	0.0294	0.0294	TRUE	0.1768
FBtr0079658	5920	1808	1764	3451	994	1437	3064	2708	2485	1762	1365	1783	2194.45	2752	1637	0.595	-0.75	-3.587	0.000334304049246462	0.0105606128297863	0.0153	0.0908	0.031	0.031	TRUE	0.2511
FBtr0331287	153	81	82	96	14	29	79	121	116	49	19	36	70.04	105	35	0.34	-1.557	-3.587	0.000334308148240011	0.0105606128297863	0.0964	0.1538	0.1162	0.1162	TRUE	0.9362
